precinct,county,patrol_borough,latitude,longitude,anti_jewish_incidents_2019_2026,felonies,misdemeanors,with_arrest,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,n_2026_ytd,top_offense
90,KINGS,PATROL BORO BKLYN NORTH,40.708686,-73.946628,127,68,59,73,10,7,9,24,14,30,23,10,"ASSAULT 2,1,UNCLASSIFIED"
19,NEW YORK,PATROL BORO MAN NORTH,40.772794,-73.956507,107,66,40,26,8,4,7,20,26,23,13,6,AGGRAVATED HARASSMENT 1
66,KINGS,PATROL BORO BKLYN SOUTH,40.631228,-73.98326,104,73,30,33,19,6,8,17,11,15,16,12,AGGRAVATED HARASSMENT 1
70,KINGS,PATROL BORO BKLYN SOUTH,40.631847,-73.959119,90,50,40,37,3,17,12,15,19,8,11,5,AGGRAVATED HARASSMENT 1
61,KINGS,PATROL BORO BKLYN SOUTH,40.59425,-73.94913,84,62,21,22,11,2,4,12,14,20,12,9,AGGRAVATED HARASSMENT 1
71,KINGS,PATROL BORO BKLYN SOUTH,40.662798,-73.946924,74,33,41,39,16,2,7,9,15,5,14,6,AGGRAVATED HARASSMENT 2
79,KINGS,PATROL BORO BKLYN NORTH,40.689242,-73.949185,72,40,28,32,7,4,4,16,5,13,18,5,AGGRAVATED HARASSMENT 1
24,NEW YORK,PATROL BORO MAN NORTH,40.795613,-73.970074,64,48,14,17,4,2,3,13,12,19,7,4,AGGRAVATED HARASSMENT 1
1,NEW YORK,PATROL BORO MAN SOUTH,40.714776,-74.009156,60,40,19,17,7,2,12,9,9,8,11,2,AGGRAVATED HARASSMENT 1
112,QUEENS,PATROL BORO QUEENS NORTH,40.72241,-73.849738,59,39,20,12,8,2,6,6,11,7,8,11,AGGRAVATED HARASSMENT 1
107,QUEENS,PATROL BORO QUEENS SOUTH,40.726155,-73.797378,55,42,13,13,5,8,2,2,18,5,5,10,AGGRAVATED HARASSMENT 1
26,NEW YORK,PATROL BORO MAN NORTH,40.811986,-73.958901,55,40,15,16,0,2,4,6,10,8,19,6,AGGRAVATED HARASSMENT 1
20,NEW YORK,PATROL BORO MAN NORTH,40.77939,-73.981697,54,30,23,8,6,1,3,4,16,12,8,4,AGGRAVATED HARASSMENT 1
18,NEW YORK,PATROL BORO MAN SOUTH,40.76329,-73.984999,53,31,22,22,3,3,14,4,9,4,10,6,AGGRAVATED HARASSMENT 1
14,NEW YORK,PATROL BORO MAN SOUTH,40.752034,-73.987139,50,28,22,17,4,0,9,5,6,7,16,3,AGGRAVATED HARASSMENT 1
13,NEW YORK,PATROL BORO MAN SOUTH,40.73804,-73.984439,43,20,23,7,5,3,4,11,8,7,5,0,AGGRAVATED HARASSMENT 1
50,BRONX,PATROL BORO BRONX NORTH,40.892453,-73.900463,42,24,18,18,0,2,22,5,5,3,0,5,AGGRAVATED HARASSMENT 1
6,NEW YORK,PATROL BORO MAN SOUTH,40.73369,-74.002402,40,20,20,11,2,1,4,4,4,8,10,7,AGGRAVATED HARASSMENT 1
60,KINGS,PATROL BORO BKLYN SOUTH,40.580646,-73.982144,38,31,7,3,9,6,2,5,6,3,3,4,AGGRAVATED HARASSMENT 1
84,KINGS,PATROL BORO BKLYN NORTH,40.694821,-73.988883,38,26,12,7,4,4,1,4,6,9,8,2,AGGRAVATED HARASSMENT 1
62,KINGS,PATROL BORO BKLYN SOUTH,40.607216,-73.993639,36,31,5,6,1,0,6,2,6,11,7,3,AGGRAVATED HARASSMENT 1
121,RICHMOND,PATROL BORO STATEN ISLAND,40.606769,-74.166212,33,20,13,10,3,1,3,4,7,7,4,4,AGGRAVATED HARASSMENT 1
7,NEW YORK,PATROL BORO MAN SOUTH,40.715438,-73.983946,32,19,13,8,5,3,6,5,1,6,4,2,AGGRAVATED HARASSMENT 1
77,KINGS,PATROL BORO BKLYN NORTH,40.674022,-73.944902,31,21,9,12,7,1,1,3,6,4,7,2,AGGRAVATED HARASSMENT 1
